# Version 1.00
#
freq[Hz];re:Trc1_S11[U];im:Trc1_S11[U];
6.827500000000000E+008;-1.026439741253853E-001;-6.720460057258606E-001;
6.977000000000000E+008;-1.271574050188065E-001;-6.586000323295593E-001;
7.126500000000000E+008;-1.770659387111664E-001;-6.578502655029297E-001;
7.276000000000000E+008;-2.168766111135483E-001;-6.438741683959961E-001;
7.425500000000000E+008;-2.439872175455093E-001;-6.263548135757446E-001;
7.575000000000000E+008;-2.748579680919647E-001;-6.216142177581787E-001;
7.724500000000000E+008;-3.101066052913666E-001;-5.940835475921631E-001;
7.874000000000000E+008;-3.484155535697937E-001;-5.598466992378235E-001;
8.023500000000000E+008;-3.811070919036865E-001;-5.344577431678772E-001;
8.173000000000000E+008;-4.051627516746521E-001;-4.936946630477905E-001;
8.322500000000000E+008;-4.262214899063110E-001;-4.743416607379913E-001;
8.472000000000000E+008;-4.445616006851196E-001;-4.582825303077698E-001;
8.621500000000000E+008;-4.846131503582001E-001;-4.193693101406097E-001;
8.771000000000000E+008;-4.990952908992767E-001;-3.816692829132080E-001;
8.920500000000000E+008;-5.156190395355225E-001;-3.511673510074616E-001;
9.070000000000000E+008;-5.353732705116272E-001;-3.232455849647522E-001;
9.219500000000000E+008;-5.487058758735657E-001;-2.923799455165863E-001;
9.369000000000000E+008;-5.602351427078247E-001;-2.428999841213226E-001;
9.518500000000000E+008;-5.615190267562866E-001;-1.921755969524384E-001;
9.668000000000000E+008;-5.430949926376343E-001;-1.212864294648171E-001;
9.817500000000000E+008;-5.410550832748413E-001;-7.659417390823364E-002;
9.967000000000000E+008;-5.278297066688538E-001;-1.975568570196629E-002;
1.011650000000000E+009;-4.959100186824799E-001;2.343908697366715E-002;
1.026600000000000E+009;-4.643333256244659E-001;6.191809102892876E-002;
1.041550000000000E+009;-4.183670878410339E-001;1.087958663702011E-001;
1.056500000000000E+009;-3.632509112358093E-001;1.640937924385071E-001;
1.071450000000000E+009;-3.055830001831055E-001;1.889711022377014E-001;
1.086400000000000E+009;-2.368752360343933E-001;1.948092132806778E-001;
1.101350000000000E+009;-1.880735754966736E-001;1.767234355211258E-001;
1.116300000000000E+009;-1.330291628837585E-001;1.636327207088471E-001;
1.131250000000000E+009;-4.966630041599274E-002;1.301118731498718E-001;
1.146200000000000E+009;-8.027576841413975E-004;7.380460947751999E-002;
1.161150000000000E+009;3.799374029040337E-002;1.899380981922150E-002;
1.176100000000000E+009;7.131168991327286E-002;-5.977543443441391E-002;
1.191050000000000E+009;7.152592390775681E-002;-1.614818274974823E-001;
1.206000000000000E+009;5.295307189226151E-002;-2.440720647573471E-001;
1.220950000000000E+009;1.276638451963663E-002;-3.169827461242676E-001;
1.235900000000000E+009;-4.362425953149796E-002;-3.533522784709930E-001;
1.250850000000000E+009;-1.167477220296860E-001;-3.705951571464539E-001;
1.265800000000000E+009;-2.006106823682785E-001;-3.872557878494263E-001;
1.280750000000000E+009;-2.809093594551086E-001;-3.897863924503326E-001;
1.295700000000000E+009;-3.502261638641357E-001;-3.847623169422150E-001;
1.310650000000000E+009;-4.020742177963257E-001;-3.588428795337677E-001;
1.325600000000000E+009;-4.386331140995026E-001;-3.002577722072601E-001;
1.340550000000000E+009;-4.802508950233460E-001;-2.446803003549576E-001;
1.355500000000000E+009;-5.159803628921509E-001;-1.901463717222214E-001;
1.370450000000000E+009;-5.436381101608276E-001;-1.390758752822876E-001;
1.385400000000000E+009;-5.538884997367859E-001;-1.202461570501328E-001;
1.400350000000000E+009;-5.464068055152893E-001;-8.861172199249268E-002;
1.415300000000000E+009;-5.261027812957764E-001;-4.242800176143646E-002;
1.430250000000000E+009;-5.010284185409546E-001;-7.549198344349861E-003;
1.445200000000000E+009;-4.908680021762848E-001;3.199113160371780E-002;
1.460150000000000E+009;-4.834210574626923E-001;4.654323309659958E-002;
1.475100000000000E+009;-4.654688239097595E-001;6.373281031847000E-002;
1.490050000000000E+009;-4.304654598236084E-001;8.480717986822128E-002;
1.505000000000000E+009;-3.999446630477905E-001;9.646907448768616E-002;
1.519950000000000E+009;-3.691706061363220E-001;1.273425966501236E-001;
1.534900000000000E+009;-3.798756897449493E-001;1.334585845470429E-001;
1.549850000000000E+009;-3.937444686889648E-001;1.335203349590302E-001;
1.564800000000000E+009;-4.003947377204895E-001;1.285193711519241E-001;
1.579750000000000E+009;-3.881272077560425E-001;1.117185875773430E-001;
1.594700000000000E+009;-3.667261302471161E-001;1.192527487874031E-001;
1.609650000000000E+009;-3.600179553031921E-001;1.376191675662994E-001;
1.624600000000000E+009;-3.740864396095276E-001;1.494625955820084E-001;
1.639550000000000E+009;-4.067525863647461E-001;1.671251803636551E-001;
1.654500000000000E+009;-4.297445714473724E-001;1.638697683811188E-001;
1.669450000000000E+009;-4.272552132606506E-001;1.626019775867462E-001;
1.684400000000000E+009;-4.045884907245636E-001;1.840873062610626E-001;
1.699350000000000E+009;-3.676501512527466E-001;1.984490752220154E-001;
1.714300000000000E+009;-3.551678657531738E-001;2.389418929815292E-001;
1.729250000000000E+009;-3.502526879310608E-001;2.774032056331635E-001;
1.744200000000000E+009;-3.400396406650543E-001;2.855357229709625E-001;
1.759150000000000E+009;-3.173570036888123E-001;2.941628396511078E-001;
1.774100000000000E+009;-2.888437807559967E-001;2.780646085739136E-001;
1.789050000000000E+009;-2.493693828582764E-001;2.921187579631805E-001;
