# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.355500000000000E+009;-4.992905464179536E+000;
1.370450000000000E+009;-4.847434908943350E+000;
1.385400000000000E+009;-4.897663610791715E+000;
1.400350000000000E+009;-5.299372647305222E+000;
1.415300000000000E+009;-5.674550303096519E+000;
1.430250000000000E+009;-6.010300091120664E+000;
1.445200000000000E+009;-6.120385373981428E+000;
1.460150000000000E+009;-6.253028069040247E+000;
1.475100000000000E+009;-6.480453223902771E+000;
1.490050000000000E+009;-6.894344503756698E+000;
1.505000000000000E+009;-7.385390147899654E+000;
1.519950000000000E+009;-7.568978405142851E+000;
1.534900000000000E+009;-7.337842296173386E+000;
1.549850000000000E+009;-7.216371959721244E+000;
1.564800000000000E+009;-6.977811720807370E+000;
1.579750000000000E+009;-7.100785442601580E+000;
1.594700000000000E+009;-7.161379064868350E+000;
1.609650000000000E+009;-7.085179423502639E+000;
1.624600000000000E+009;-6.606578718713178E+000;
1.639550000000000E+009;-6.113038688867285E+000;
1.654500000000000E+009;-5.886036164549597E+000;
1.669450000000000E+009;-5.976796339728146E+000;
1.684400000000000E+009;-6.144663798963051E+000;
1.699350000000000E+009;-6.349506716833560E+000;
1.714300000000000E+009;-6.170458969968402E+000;
1.729250000000000E+009;-6.067680531555733E+000;
1.744200000000000E+009;-6.221642624106534E+000;
1.759150000000000E+009;-6.490259618723820E+000;
1.774100000000000E+009;-6.960412873986167E+000;
1.789050000000000E+009;-7.351399180064749E+000;
1.804000000000000E+009;-7.256519439647477E+000;
1.818950000000000E+009;-7.557801948787982E+000;
1.833900000000000E+009;-7.473024534812848E+000;
1.848850000000000E+009;-7.783293913865366E+000;
1.863800000000000E+009;-8.581776581245444E+000;
1.878750000000000E+009;-8.399154299237821E+000;
1.893700000000000E+009;-8.285903148552803E+000;
1.908650000000000E+009;-7.897675898146036E+000;
1.923600000000000E+009;-7.416195248802337E+000;
1.938550000000000E+009;-7.147404534425152E+000;
1.953500000000000E+009;-7.004996604947849E+000;
1.968450000000000E+009;-7.055344644107604E+000;
1.983400000000000E+009;-6.749512811210523E+000;
1.998350000000000E+009;-6.034751736717666E+000;
2.013300000000000E+009;-5.283633753322362E+000;
2.028250000000000E+009;-4.762637591957533E+000;
2.043200000000000E+009;-4.404586260439093E+000;
2.058150000000000E+009;-4.477860934155999E+000;
2.073100000000000E+009;-4.321680690779475E+000;
2.088050000000000E+009;-3.765158298898065E+000;
2.103000000000000E+009;-3.422026255349873E+000;
2.117950000000000E+009;-3.066704505618450E+000;
2.132900000000000E+009;-3.235537821664021E+000;
2.147850000000000E+009;-3.318743496758917E+000;
2.162800000000000E+009;-3.481595563497174E+000;
2.177750000000000E+009;-3.379266269065630E+000;
2.192700000000000E+009;-3.035903267789694E+000;
2.207650000000000E+009;-3.103009541838665E+000;
2.222600000000000E+009;-3.213881583118585E+000;
2.237550000000000E+009;-3.820997676635060E+000;
2.252500000000000E+009;-3.999309250492971E+000;
2.267450000000000E+009;-3.828134646643497E+000;
2.282400000000000E+009;-3.345463857479954E+000;
2.297350000000000E+009;-3.006697550560078E+000;
2.312300000000000E+009;-3.146477523235758E+000;
2.327250000000000E+009;-3.636244083510521E+000;
2.342200000000000E+009;-4.011970842408265E+000;
2.357150000000000E+009;-3.908585055804480E+000;
2.372100000000000E+009;-3.713857301918464E+000;
2.387050000000000E+009;-3.036648417405313E+000;
2.402000000000000E+009;-3.003256087415919E+000;
2.416950000000000E+009;-3.211030762922188E+000;
2.431900000000000E+009;-3.369930118327325E+000;
2.446850000000000E+009;-3.619232822368120E+000;
2.461800000000000E+009;-3.057199092821847E+000;
2.476750000000000E+009;-2.655045699490003E+000;
2.491700000000000E+009;-2.509946526502982E+000;
2.506650000000000E+009;-2.729587511428142E+000;
2.521600000000000E+009;-3.237677767861888E+000;
2.536550000000000E+009;-3.321562023598682E+000;
2.551500000000000E+009;-2.913650715301544E+000;
2.566450000000000E+009;-2.545505118961345E+000;
2.581400000000000E+009;-2.415719080781124E+000;
2.596350000000000E+009;-2.812969611152709E+000;
2.611300000000000E+009;-3.489922729103595E+000;
2.626250000000000E+009;-3.830975184670845E+000;
2.641200000000000E+009;-3.730517170869815E+000;
2.656150000000000E+009;-3.351784929239678E+000;
2.671100000000000E+009;-3.171145386632875E+000;
2.686050000000000E+009;-3.199910363723062E+000;
2.701000000000000E+009;-3.585667846660226E+000;
2.715950000000000E+009;-3.996004487652453E+000;
2.730900000000000E+009;-3.906316545859870E+000;
2.745850000000000E+009;-3.847018534008953E+000;
2.760800000000000E+009;-3.625770564389050E+000;
2.775750000000000E+009;-3.486767189593957E+000;
2.790700000000000E+009;-3.943252925672554E+000;
2.805650000000000E+009;-3.936643654852669E+000;
2.820600000000000E+009;-3.886069009560934E+000;
2.835550000000000E+009;-3.703769336280216E+000;
2.850500000000000E+009;-3.411891895896591E+000;
2.865450000000000E+009;-3.614170046307490E+000;
2.880400000000000E+009;-3.693826326213080E+000;
2.895350000000000E+009;-3.639143144384771E+000;
2.910300000000000E+009;-3.595999195232170E+000;
2.925250000000000E+009;-3.173022928140472E+000;
2.940200000000000E+009;-2.923585762782623E+000;
2.955150000000000E+009;-2.961317123975442E+000;
2.970100000000000E+009;-2.941767442638520E+000;
2.985050000000000E+009;-3.016776661873537E+000;
3.000000000000000E+009;-3.036910576331178E+000;
