# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
5.033500000000000E+008;4.128603637218475E-001;-4.285497367382050E-001;
5.183000000000000E+008;3.843092620372772E-001;-4.831889867782593E-001;
5.332500000000000E+008;3.509906530380249E-001;-5.548087358474731E-001;
5.482000000000000E+008;2.924404740333557E-001;-5.794432759284973E-001;
5.631500000000000E+008;2.649050652980804E-001;-6.052774190902710E-001;
5.781000000000000E+008;2.315144538879395E-001;-6.335994005203247E-001;
5.930500000000000E+008;1.725423932075501E-001;-6.522063016891480E-001;
6.080000000000000E+008;1.261471956968308E-001;-6.652931571006775E-001;
6.229500000000000E+008;7.298609614372253E-002;-6.821702122688294E-001;
6.379000000000000E+008;2.029616944491863E-002;-6.820649504661560E-001;
6.528500000000000E+008;-8.315419778227806E-003;-6.892675757408142E-001;
6.678000000000000E+008;-4.984684661030769E-002;-6.849435567855835E-001;
6.827500000000000E+008;-9.603767096996307E-002;-6.793685555458069E-001;
6.977000000000000E+008;-1.295116543769836E-001;-6.627395153045654E-001;
7.126500000000000E+008;-1.715622991323471E-001;-6.609508395195007E-001;
7.276000000000000E+008;-2.150927484035492E-001;-6.486328244209290E-001;
7.425500000000000E+008;-2.430351823568344E-001;-6.356882452964783E-001;
7.575000000000000E+008;-2.788262665271759E-001;-6.240969896316528E-001;
7.724500000000000E+008;-3.167047202587128E-001;-5.912374854087830E-001;
7.874000000000000E+008;-3.451453447341919E-001;-5.585914254188538E-001;
8.023500000000000E+008;-3.790178000926971E-001;-5.316052436828613E-001;
8.173000000000000E+008;-4.004704952239990E-001;-4.983368515968323E-001;
8.322500000000000E+008;-4.246069192886353E-001;-4.793065786361694E-001;
8.472000000000000E+008;-4.450925886631012E-001;-4.624519348144531E-001;
8.621500000000000E+008;-4.794941842556000E-001;-4.298047721385956E-001;
8.771000000000000E+008;-5.028042793273926E-001;-3.839320540428162E-001;
8.920500000000000E+008;-5.172722935676575E-001;-3.528114557266235E-001;
9.070000000000000E+008;-5.365846157073975E-001;-3.265582919120789E-001;
9.219500000000000E+008;-5.512262582778931E-001;-2.917081713676453E-001;
9.369000000000000E+008;-5.603188276290894E-001;-2.445970624685288E-001;
9.518500000000000E+008;-5.600416064262390E-001;-1.892097145318985E-001;
9.668000000000000E+008;-5.449450612068176E-001;-1.229025647044182E-001;
9.817500000000000E+008;-5.427302718162537E-001;-7.978771626949310E-002;
9.967000000000000E+008;-5.253573656082153E-001;-2.029376663267613E-002;
1.011650000000000E+009;-4.964221417903900E-001;1.649232022464275E-002;
1.026600000000000E+009;-4.686741232872009E-001;5.859849974513054E-002;
1.041550000000000E+009;-4.221418797969818E-001;1.117272675037384E-001;
1.056500000000000E+009;-3.672377765178680E-001;1.634695231914520E-001;
1.071450000000000E+009;-3.041408956050873E-001;1.925935894250870E-001;
1.086400000000000E+009;-2.370560020208359E-001;1.913326084613800E-001;
1.101350000000000E+009;-1.887250840663910E-001;1.718433797359467E-001;
1.116300000000000E+009;-1.344390511512756E-001;1.612787693738937E-001;
1.131250000000000E+009;-5.356932431459427E-002;1.306688338518143E-001;
1.146200000000000E+009;-1.384007511660457E-003;8.052516728639603E-002;
1.161150000000000E+009;3.892762959003449E-002;2.244582027196884E-002;
1.176100000000000E+009;7.869134843349457E-002;-6.110184639692307E-002;
1.191050000000000E+009;7.408045977354050E-002;-1.641400605440140E-001;
1.206000000000000E+009;4.962519556283951E-002;-2.521176934242249E-001;
1.220950000000000E+009;9.522950276732445E-003;-3.153122067451477E-001;
1.235900000000000E+009;-4.734518378973007E-002;-3.491365611553192E-001;
1.250850000000000E+009;-1.116518378257752E-001;-3.719435334205627E-001;
1.265800000000000E+009;-1.983604431152344E-001;-3.902544379234314E-001;
1.280750000000000E+009;-2.814039289951325E-001;-3.977106213569641E-001;
1.295700000000000E+009;-3.472500443458557E-001;-3.873234987258911E-001;
1.310650000000000E+009;-4.040057957172394E-001;-3.587338328361511E-001;
1.325600000000000E+009;-4.412068724632263E-001;-3.052449524402618E-001;
1.340550000000000E+009;-4.794210791587830E-001;-2.457228749990463E-001;
