# Version 1.00
#
freq[Hz];re:Trc1_S11[U];im:Trc1_S11[U];
1.026600000000000E+009;-4.523803591728210E-001;6.858773529529572E-002;
1.041550000000000E+009;-3.982863128185272E-001;1.067603453993797E-001;
1.056500000000000E+009;-3.473387062549591E-001;1.448929309844971E-001;
1.071450000000000E+009;-2.993588447570801E-001;1.628122180700302E-001;
1.086400000000000E+009;-2.289194315671921E-001;1.681441813707352E-001;
1.101350000000000E+009;-1.733541339635849E-001;1.527395248413086E-001;
1.116300000000000E+009;-1.133439168334007E-001;1.248250156641007E-001;
1.131250000000000E+009;-2.876791544258595E-002;8.363761007785797E-002;
1.146200000000000E+009;7.832127623260021E-003;1.367827225476503E-002;
1.161150000000000E+009;2.245477959513664E-002;-6.118070706725121E-002;
1.176100000000000E+009;3.870007395744324E-002;-1.376683562994003E-001;
1.191050000000000E+009;2.149496600031853E-002;-2.387139648199081E-001;
1.206000000000000E+009;-2.457686886191368E-002;-3.133234977722168E-001;
1.220950000000000E+009;-8.212473988533020E-002;-3.663389384746552E-001;
1.235900000000000E+009;-1.540657281875610E-001;-3.838539719581604E-001;
1.250850000000000E+009;-2.325746268033981E-001;-3.779589831829071E-001;
1.265800000000000E+009;-3.127174079418182E-001;-3.786606192588806E-001;
1.280750000000000E+009;-3.840204775333405E-001;-3.578055202960968E-001;
1.295700000000000E+009;-4.385387301445007E-001;-3.352124691009522E-001;
1.310650000000000E+009;-4.741753041744232E-001;-2.978053689002991E-001;
1.325600000000000E+009;-5.014703273773193E-001;-2.359586656093597E-001;
1.340550000000000E+009;-5.312878489494324E-001;-1.799146234989166E-001;
1.355500000000000E+009;-5.489095449447632E-001;-1.295552551746368E-001;
1.370450000000000E+009;-5.666151046752930E-001;-8.794995397329330E-002;
1.385400000000000E+009;-5.693511962890625E-001;-6.451143324375153E-002;
1.400350000000000E+009;-5.470067262649536E-001;-2.844240702688694E-002;
1.415300000000000E+009;-5.228114724159241E-001;1.014402043074369E-002;
1.430250000000000E+009;-4.986438751220703E-001;3.810478001832962E-002;
1.445200000000000E+009;-4.889190196990967E-001;6.974975019693375E-002;
1.460150000000000E+009;-4.790510237216950E-001;7.120236754417419E-002;
1.475100000000000E+009;-4.681625664234161E-001;7.955306023359299E-002;
1.490050000000000E+009;-4.419838786125183E-001;9.975537657737732E-002;
1.505000000000000E+009;-4.168677330017090E-001;1.034143716096878E-001;
1.519950000000000E+009;-4.019984304904938E-001;1.348904371261597E-001;
1.534900000000000E+009;-4.054240584373474E-001;1.468339860439301E-001;
1.549850000000000E+009;-4.152997136116028E-001;1.345826238393784E-001;
1.564800000000000E+009;-4.277361929416657E-001;1.331599354743958E-001;
1.579750000000000E+009;-4.266126453876495E-001;1.203354224562645E-001;
1.594700000000000E+009;-4.163638055324554E-001;1.417408585548401E-001;
1.609650000000000E+009;-4.101112484931946E-001;1.649884134531021E-001;
1.624600000000000E+009;-4.313991367816925E-001;1.827979087829590E-001;
1.639550000000000E+009;-4.496558010578156E-001;2.074424773454666E-001;
1.654500000000000E+009;-4.675609767436981E-001;2.077050358057022E-001;
1.669450000000000E+009;-4.565420150756836E-001;2.234767377376556E-001;
1.684400000000000E+009;-4.312802553176880E-001;2.464529871940613E-001;
1.699350000000000E+009;-3.984412550926209E-001;2.708823978900909E-001;
1.714300000000000E+009;-3.745916485786438E-001;3.176394701004028E-001;
1.729250000000000E+009;-3.635551631450653E-001;3.425218164920807E-001;
1.744200000000000E+009;-3.458339273929596E-001;3.478273749351502E-001;
1.759150000000000E+009;-3.266352713108063E-001;3.481392562389374E-001;
1.774100000000000E+009;-2.971604168415070E-001;3.399322330951691E-001;
1.789050000000000E+009;-2.529132366180420E-001;3.484263122081757E-001;
1.804000000000000E+009;-2.377706021070480E-001;3.619328439235687E-001;
1.818950000000000E+009;-2.395435720682144E-001;3.440553247928619E-001;
1.833900000000000E+009;-2.599831223487854E-001;3.379648625850678E-001;
1.848850000000000E+009;-2.638312876224518E-001;3.153299093246460E-001;
1.863800000000000E+009;-2.412719130516052E-001;2.904161512851715E-001;
1.878750000000000E+009;-2.371843904256821E-001;2.976174354553223E-001;
1.893700000000000E+009;-2.388382703065872E-001;3.052657544612885E-001;
1.908650000000000E+009;-2.494189441204071E-001;3.214715123176575E-001;
1.923600000000000E+009;-2.862532138824463E-001;3.205554485321045E-001;
1.938550000000000E+009;-3.114965856075287E-001;3.146192431449890E-001;
1.953500000000000E+009;-3.110537230968475E-001;3.191015720367432E-001;
1.968450000000000E+009;-3.013034462928772E-001;3.314144313335419E-001;
1.983400000000000E+009;-2.728779613971710E-001;3.719362914562225E-001;
1.998350000000000E+009;-2.741512358188629E-001;4.200073778629303E-001;
2.013300000000000E+009;-2.977073788642883E-001;4.612664282321930E-001;
2.028250000000000E+009;-3.129762411117554E-001;4.918767809867859E-001;
2.043200000000000E+009;-3.169226944446564E-001;5.191573500633240E-001;
2.058150000000000E+009;-2.735131978988648E-001;5.364800691604614E-001;
2.073100000000000E+009;-2.355638593435288E-001;5.685319304466248E-001;
2.088050000000000E+009;-2.013597637414932E-001;6.189746260643005E-001;
2.103000000000000E+009;-1.880259066820145E-001;6.533198356628418E-001;
2.117950000000000E+009;-1.680922359228134E-001;6.866820454597473E-001;
2.132900000000000E+009;-1.289080530405045E-001;6.810846328735352E-001;
2.147850000000000E+009;-7.240232825279236E-002;6.859561800956726E-001;
2.162800000000000E+009;-6.688951514661312E-003;6.753684282302856E-001;
2.177750000000000E+009;3.092748485505581E-002;6.855772733688355E-001;
2.192700000000000E+009;7.315791398286820E-002;7.058174014091492E-001;
2.207650000000000E+009;8.189995586872101E-002;7.032152414321899E-001;
2.222600000000000E+009;1.037461906671524E-001;6.892841458320618E-001;
2.237550000000000E+009;1.289841085672379E-001;6.358061432838440E-001;
2.252500000000000E+009;1.884593963623047E-001;6.100190281867981E-001;
2.267450000000000E+009;2.459045499563217E-001;5.988525152206421E-001;
2.282400000000000E+009;2.663760781288147E-001;6.358872056007385E-001;
2.297350000000000E+009;2.702880203723908E-001;6.609031558036804E-001;
2.312300000000000E+009;2.429805994033814E-001;6.629514694213867E-001;
2.327250000000000E+009;2.590670883655548E-001;6.139875650405884E-001;
2.342200000000000E+009;2.843953073024750E-001;5.700373649597168E-001;
2.357150000000000E+009;3.371112942695618E-001;5.484194755554199E-001;
2.372100000000000E+009;3.835154771804810E-001;5.319236516952515E-001;
2.387050000000000E+009;4.253705739974976E-001;5.709472894668579E-001;
2.402000000000000E+009;4.312363564968109E-001;5.685868859291077E-001;
2.416950000000000E+009;4.241031408309937E-001;5.585728883743286E-001;
2.431900000000000E+009;4.505373239517212E-001;5.183770060539246E-001;
2.446850000000000E+009;4.781149327754974E-001;4.665172696113586E-001;
2.461800000000000E+009;5.496188998222351E-001;4.547477066516876E-001;
