# Version 1.00
#
freq[Hz];Trc1_S11[U];
9.817500000000000E+008;3.422905910045546E+000;
9.967000000000000E+008;3.198445649258050E+000;
1.011650000000000E+009;2.943840464829606E+000;
1.026600000000000E+009;2.776350536451438E+000;
1.041550000000000E+009;2.499006373050577E+000;
1.056500000000000E+009;2.324838841706897E+000;
1.071450000000000E+009;2.131503852908860E+000;
1.086400000000000E+009;1.885431014014786E+000;
1.101350000000000E+009;1.697974693576668E+000;
1.116300000000000E+009;1.526749567626648E+000;
1.131250000000000E+009;1.325225309518776E+000;
1.146200000000000E+009;1.159772299502923E+000;
1.161150000000000E+009;1.090680045752265E+000;
1.176100000000000E+009;1.204146008283244E+000;
1.191050000000000E+009;1.432760769559983E+000;
1.206000000000000E+009;1.663403426139406E+000;
1.220950000000000E+009;1.917786973275453E+000;
1.235900000000000E+009;2.103743328010796E+000;
1.250850000000000E+009;2.257729458478126E+000;
1.265800000000000E+009;2.552338865410464E+000;
1.280750000000000E+009;2.861270748752099E+000;
1.295700000000000E+009;3.163406990247461E+000;
1.310650000000000E+009;3.318825884676722E+000;
1.325600000000000E+009;3.250652668892173E+000;
1.340550000000000E+009;3.330530950867252E+000;
1.355500000000000E+009;3.405708613492871E+000;
1.370450000000000E+009;3.530803376074786E+000;
1.385400000000000E+009;3.624256479409660E+000;
1.400350000000000E+009;3.441162418161080E+000;
1.415300000000000E+009;3.253118228251410E+000;
1.430250000000000E+009;2.996601528898528E+000;
1.445200000000000E+009;2.938797130730931E+000;
1.460150000000000E+009;2.871602475371825E+000;
1.475100000000000E+009;2.724800358528934E+000;
1.490050000000000E+009;2.555564590075469E+000;
1.505000000000000E+009;2.382701171811740E+000;
1.519950000000000E+009;2.286846586290322E+000;
1.534900000000000E+009;2.356571826962943E+000;
1.549850000000000E+009;2.427274516356777E+000;
1.564800000000000E+009;2.461576254291717E+000;
1.579750000000000E+009;2.338567420404901E+000;
1.594700000000000E+009;2.249920988643630E+000;
1.609650000000000E+009;2.252060822633524E+000;
1.624600000000000E+009;2.348884108228995E+000;
1.639550000000000E+009;2.530317917666854E+000;
1.654500000000000E+009;2.686974084763753E+000;
1.669450000000000E+009;2.669635825615420E+000;
1.684400000000000E+009;2.574344460148477E+000;
1.699350000000000E+009;2.430896119043698E+000;
1.714300000000000E+009;2.495074011188807E+000;
1.729250000000000E+009;2.623533805478186E+000;
1.744200000000000E+009;2.574506311092793E+000;
1.759150000000000E+009;2.529024001442045E+000;
1.774100000000000E+009;2.334222244373444E+000;
1.789050000000000E+009;2.244320700555016E+000;
1.804000000000000E+009;2.264907255461928E+000;
1.818950000000000E+009;2.208023083048668E+000;
1.833900000000000E+009;2.204346788802369E+000;
1.848850000000000E+009;2.094099611918488E+000;
1.863800000000000E+009;1.961573862617455E+000;
1.878750000000000E+009;1.936351345588948E+000;
1.893700000000000E+009;1.971068467022686E+000;
1.908650000000000E+009;2.084682354848502E+000;
1.923600000000000E+009;2.245158516567887E+000;
1.938550000000000E+009;2.327027561736506E+000;
1.953500000000000E+009;2.376725076984311E+000;
1.968450000000000E+009;2.379087554838133E+000;
1.983400000000000E+009;2.432611898701938E+000;
1.998350000000000E+009;2.730812880864956E+000;
2.013300000000000E+009;3.104557281996482E+000;
2.028250000000000E+009;3.519752487981289E+000;
2.043200000000000E+009;3.878547601898565E+000;
2.058150000000000E+009;3.914085671515051E+000;
2.073100000000000E+009;4.069790013966116E+000;
2.088050000000000E+009;4.498517209845634E+000;
2.103000000000000E+009;5.085355776103787E+000;
2.117950000000000E+009;5.688120543017710E+000;
2.132900000000000E+009;5.551667736984989E+000;
2.147850000000000E+009;5.388150688340677E+000;
2.162800000000000E+009;5.168049067053458E+000;
2.177750000000000E+009;5.499357434427364E+000;
2.192700000000000E+009;6.125226737833589E+000;
2.207650000000000E+009;6.319216865879844E+000;
2.222600000000000E+009;5.821613214957871E+000;
2.237550000000000E+009;4.925861957348441E+000;
2.252500000000000E+009;4.649892370730458E+000;
2.267450000000000E+009;4.656750077874466E+000;
2.282400000000000E+009;5.372337242847173E+000;
2.297350000000000E+009;5.852774916803901E+000;
2.312300000000000E+009;5.793620648639720E+000;
2.327250000000000E+009;4.898402460044647E+000;
2.342200000000000E+009;4.314446290406734E+000;
2.357150000000000E+009;4.226672184801132E+000;
2.372100000000000E+009;4.396618567490323E+000;
2.387050000000000E+009;5.350480594372099E+000;
2.402000000000000E+009;5.521509062633720E+000;
2.416950000000000E+009;5.424680763766435E+000;
2.431900000000000E+009;5.207603122256720E+000;
2.446850000000000E+009;5.052287221815265E+000;
2.461800000000000E+009;5.884946543936242E+000;
2.476750000000000E+009;6.763014470728825E+000;
2.491700000000000E+009;7.423546022596554E+000;
2.506650000000000E+009;6.709220657723042E+000;
2.521600000000000E+009;5.751586343460545E+000;
2.536550000000000E+009;5.407795653726285E+000;
2.551500000000000E+009;6.142895271743199E+000;
2.566450000000000E+009;7.254495541469932E+000;
2.581400000000000E+009;8.067459427892588E+000;
2.596350000000000E+009;6.825172548945381E+000;
2.611300000000000E+009;5.198319441798352E+000;
2.626250000000000E+009;4.711408163575384E+000;
2.641200000000000E+009;4.666478875074061E+000;
2.656150000000000E+009;5.575814308360054E+000;
2.671100000000000E+009;6.004058859284753E+000;
2.686050000000000E+009;6.048690531929971E+000;
2.701000000000000E+009;5.550189483884095E+000;
2.715950000000000E+009;4.789171868311254E+000;
2.730900000000000E+009;4.803449390881330E+000;
