# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
4.435500000000000E+008;4.079323410987854E-001;-2.001956403255463E-001;
4.585000000000000E+008;4.147619903087616E-001;-2.831948697566986E-001;
4.734500000000000E+008;4.081846177577972E-001;-3.345840871334076E-001;
4.884000000000000E+008;4.076366722583771E-001;-4.039375782012940E-001;
5.033500000000000E+008;3.938973844051361E-001;-4.573940336704254E-001;
5.183000000000000E+008;3.577534854412079E-001;-5.187816619873047E-001;
5.332500000000000E+008;3.202412426471710E-001;-5.836606621742249E-001;
5.482000000000000E+008;2.597189247608185E-001;-6.011746525764465E-001;
5.631500000000000E+008;2.192012965679169E-001;-6.200712919235230E-001;
5.781000000000000E+008;1.970667690038681E-001;-6.396289467811585E-001;
5.930500000000000E+008;1.468274742364883E-001;-6.633775830268860E-001;
6.080000000000000E+008;9.022516757249832E-002;-6.758783459663391E-001;
6.229500000000000E+008;3.981537371873856E-002;-6.866968274116516E-001;
6.379000000000000E+008;-7.563647814095020E-003;-6.824832558631897E-001;
6.528500000000000E+008;-4.046358540654182E-002;-6.893337368965149E-001;
6.678000000000000E+008;-8.180623501539230E-002;-6.801556348800659E-001;
6.827500000000000E+008;-1.266656666994095E-001;-6.637500524520874E-001;
6.977000000000000E+008;-1.528599709272385E-001;-6.535813212394714E-001;
7.126500000000000E+008;-1.953611671924591E-001;-6.525709629058838E-001;
7.276000000000000E+008;-2.404708415269852E-001;-6.388940811157227E-001;
7.425500000000000E+008;-2.683831155300140E-001;-6.134029030799866E-001;
7.575000000000000E+008;-2.969788908958435E-001;-6.020914316177368E-001;
7.724500000000000E+008;-3.286930918693543E-001;-5.686150193214417E-001;
7.874000000000000E+008;-3.544522523880005E-001;-5.416910052299500E-001;
8.023500000000000E+008;-3.812621831893921E-001;-5.210946798324585E-001;
8.173000000000000E+008;-4.075851738452911E-001;-4.902509152889252E-001;
8.322500000000000E+008;-4.323870539665222E-001;-4.784266948699951E-001;
8.472000000000000E+008;-4.591339528560638E-001;-4.523964822292328E-001;
8.621500000000000E+008;-4.895955324172974E-001;-4.097515344619751E-001;
8.771000000000000E+008;-5.085545182228088E-001;-3.759950101375580E-001;
8.920500000000000E+008;-5.169530510902405E-001;-3.388319909572601E-001;
9.070000000000000E+008;-5.389450788497925E-001;-3.192448318004608E-001;
9.219500000000000E+008;-5.605077147483826E-001;-2.822507619857788E-001;
9.369000000000000E+008;-5.660297274589539E-001;-2.165972292423248E-001;
9.518500000000000E+008;-5.560541749000549E-001;-1.744406074285507E-001;
9.668000000000000E+008;-5.419409871101379E-001;-1.063611358404160E-001;
9.817500000000000E+008;-5.371012687683106E-001;-6.785906106233597E-002;
9.967000000000000E+008;-5.200572609901428E-001;-2.037901990115643E-002;
1.011650000000000E+009;-4.878507554531097E-001;2.835486270487309E-002;
1.026600000000000E+009;-4.489184319972992E-001;6.882866472005844E-002;
1.041550000000000E+009;-3.978692591190338E-001;1.040122210979462E-001;
1.056500000000000E+009;-3.500872552394867E-001;1.452566385269165E-001;
1.071450000000000E+009;-2.993954122066498E-001;1.647915393114090E-001;
1.086400000000000E+009;-2.281845659017563E-001;1.690937727689743E-001;
1.101350000000000E+009;-1.729221194982529E-001;1.530207991600037E-001;
1.116300000000000E+009;-1.139650344848633E-001;1.251387596130371E-001;
1.131250000000000E+009;-2.798920869827271E-002;8.391211181879044E-002;
1.146200000000000E+009;7.390975952148438E-003;1.392354071140289E-002;
1.161150000000000E+009;2.215262688696384E-002;-6.019539013504982E-002;
1.176100000000000E+009;3.968219086527824E-002;-1.372007131576538E-001;
1.191050000000000E+009;2.167480252683163E-002;-2.390693724155426E-001;
1.206000000000000E+009;-2.578276023268700E-002;-3.119274675846100E-001;
1.220950000000000E+009;-8.302129060029984E-002;-3.660793602466583E-001;
1.235900000000000E+009;-1.570951789617539E-001;-3.831922113895416E-001;
