# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.669450000000000E+009;-6.793301321449265E+000;
1.684400000000000E+009;-7.131031922986773E+000;
1.699350000000000E+009;-7.546846772018185E+000;
1.714300000000000E+009;-7.374108889739226E+000;
1.729250000000000E+009;-6.821951941919153E+000;
1.744200000000000E+009;-7.051280972459158E+000;
1.759150000000000E+009;-7.234686234601646E+000;
1.774100000000000E+009;-7.924286332748975E+000;
1.789050000000000E+009;-8.333188498596451E+000;
1.804000000000000E+009;-8.291431670869086E+000;
1.818950000000000E+009;-8.504111465636328E+000;
1.833900000000000E+009;-8.415906722626342E+000;
1.848850000000000E+009;-9.055497422820508E+000;
1.863800000000000E+009;-9.557562619620290E+000;
1.878750000000000E+009;-9.945563894498863E+000;
1.893700000000000E+009;-9.576604267629998E+000;
1.908650000000000E+009;-9.025214002122977E+000;
1.923600000000000E+009;-8.354245896996732E+000;
1.938550000000000E+009;-7.908063077656717E+000;
1.953500000000000E+009;-7.850455452497550E+000;
1.968450000000000E+009;-7.645968940981248E+000;
1.983400000000000E+009;-7.576953708964329E+000;
1.998350000000000E+009;-6.608868302112627E+000;
2.013300000000000E+009;-5.719419862279088E+000;
2.028250000000000E+009;-5.032054938586245E+000;
2.043200000000000E+009;-4.514928652591072E+000;
2.058150000000000E+009;-4.578834949844490E+000;
2.073100000000000E+009;-4.219855666450220E+000;
2.088050000000000E+009;-3.902247867536052E+000;
2.103000000000000E+009;-3.380805351567602E+000;
2.117950000000000E+009;-3.000462419686927E+000;
2.132900000000000E+009;-3.122820822591347E+000;
2.147850000000000E+009;-3.121659198539134E+000;
2.162800000000000E+009;-3.389731232833392E+000;
2.177750000000000E+009;-3.098232819106982E+000;
2.192700000000000E+009;-2.863224528126551E+000;
2.207650000000000E+009;-2.653530728655102E+000;
2.222600000000000E+009;-2.945278773316630E+000;
2.237550000000000E+009;-3.496483200205590E+000;
2.252500000000000E+009;-3.636241496408649E+000;
2.267450000000000E+009;-3.797658255673785E+000;
2.282400000000000E+009;-3.089505681092709E+000;
2.297350000000000E+009;-3.041155877304631E+000;
2.312300000000000E+009;-2.957575961516146E+000;
2.327250000000000E+009;-3.544111711777584E+000;
2.342200000000000E+009;-4.047179966518985E+000;
2.357150000000000E+009;-3.997110763996718E+000;
2.372100000000000E+009;-3.934089134190507E+000;
2.387050000000000E+009;-3.131766306241945E+000;
2.402000000000000E+009;-3.191867694043790E+000;
2.416950000000000E+009;-3.101972688879600E+000;
2.431900000000000E+009;-3.332170299326875E+000;
2.446850000000000E+009;-3.459167533348961E+000;
2.461800000000000E+009;-2.844445645207621E+000;
2.476750000000000E+009;-2.602586861625374E+000;
2.491700000000000E+009;-2.124792371543016E+000;
2.506650000000000E+009;-2.621028229439318E+000;
2.521600000000000E+009;-2.956114240308348E+000;
2.536550000000000E+009;-3.144878534796814E+000;
2.551500000000000E+009;-2.812763678602786E+000;
2.566450000000000E+009;-2.283211443055894E+000;
2.581400000000000E+009;-2.195936248012572E+000;
2.596350000000000E+009;-2.437038669037113E+000;
2.611300000000000E+009;-3.347488459620267E+000;
2.626250000000000E+009;-3.596505898422971E+000;
2.641200000000000E+009;-3.735785030048028E+000;
2.656150000000000E+009;-3.068886148727087E+000;
2.671100000000000E+009;-2.820200759907611E+000;
2.686050000000000E+009;-2.949374812362853E+000;
2.701000000000000E+009;-3.037108141224196E+000;
2.715950000000000E+009;-3.693930732399789E+000;
2.730900000000000E+009;-3.557993713462210E+000;
2.745850000000000E+009;-3.612853020562406E+000;
2.760800000000000E+009;-3.273035187987333E+000;
2.775750000000000E+009;-3.088399534042429E+000;
2.790700000000000E+009;-3.554071893352052E+000;
2.805650000000000E+009;-3.641846288229824E+000;
2.820600000000000E+009;-3.755825999354660E+000;
2.835550000000000E+009;-3.209802653052226E+000;
2.850500000000000E+009;-3.106134721395478E+000;
2.865450000000000E+009;-3.184079116760124E+000;
2.880400000000000E+009;-3.260799930085553E+000;
2.895350000000000E+009;-3.442364195368490E+000;
2.910300000000000E+009;-3.091273801723188E+000;
2.925250000000000E+009;-2.878766167027373E+000;
2.940200000000000E+009;-2.417990480208324E+000;
2.955150000000000E+009;-2.397046748876161E+000;
2.970100000000000E+009;-2.469168172021629E+000;
2.985050000000000E+009;-2.588551670264490E+000;
3.000000000000000E+009;-2.519704593592340E+000;
