# Version 1.00
#
freq[Hz];Trc1_S11[U];
1.549850000000000E+009;2.547206414362825E+000;
1.564800000000000E+009;2.624760000028903E+000;
1.579750000000000E+009;2.590502304534560E+000;
1.594700000000000E+009;2.575034039925426E+000;
1.609650000000000E+009;2.589174104112859E+000;
1.624600000000000E+009;2.762223813931340E+000;
1.639550000000000E+009;2.958688835645686E+000;
1.654500000000000E+009;3.090493481871932E+000;
1.669450000000000E+009;3.053677517365923E+000;
1.684400000000000E+009;2.960693198477143E+000;
1.699350000000000E+009;2.857635760784263E+000;
1.714300000000000E+009;2.936394336254445E+000;
1.729250000000000E+009;2.990874915213243E+000;
1.744200000000000E+009;2.924049638652598E+000;
1.759150000000000E+009;2.816439707503173E+000;
1.774100000000000E+009;2.640681142496526E+000;
1.789050000000000E+009;2.508613806406746E+000;
1.804000000000000E+009;2.536783490730637E+000;
1.818950000000000E+009;2.448704311052175E+000;
1.833900000000000E+009;2.472993879141945E+000;
1.848850000000000E+009;2.389271768021629E+000;
1.863800000000000E+009;2.206676561603191E+000;
1.878750000000000E+009;2.233496674756458E+000;
1.893700000000000E+009;2.263042654665278E+000;
1.908650000000000E+009;2.364799210897090E+000;
1.923600000000000E+009;2.497726887118916E+000;
1.938550000000000E+009;2.580362362168644E+000;
1.953500000000000E+009;2.616600349550459E+000;
1.968450000000000E+009;2.618165670301773E+000;
1.983400000000000E+009;2.714382510339683E+000;
1.998350000000000E+009;3.002990500449563E+000;
2.013300000000000E+009;3.421744337820900E+000;
2.028250000000000E+009;3.776887804013524E+000;
2.043200000000000E+009;4.082180812912233E+000;
2.058150000000000E+009;4.017567096037066E+000;
2.073100000000000E+009;4.169161239691255E+000;
2.088050000000000E+009;4.717780915657849E+000;
2.103000000000000E+009;5.222266952226152E+000;
2.117950000000000E+009;5.795613733766400E+000;
2.132900000000000E+009;5.493264662777930E+000;
2.147850000000000E+009;5.412570710181011E+000;
2.162800000000000E+009;5.132599024935779E+000;
2.177750000000000E+009;5.319267820985463E+000;
2.192700000000000E+009;5.868893403467267E+000;
2.207650000000000E+009;5.802559384861483E+000;
2.222600000000000E+009;5.547163119715073E+000;
2.237550000000000E+009;4.671872506092301E+000;
2.252500000000000E+009;4.513391584309469E+000;
2.267450000000000E+009;4.663061351840417E+000;
2.282400000000000E+009;5.392612016422191E+000;
2.297350000000000E+009;5.958537176775240E+000;
2.312300000000000E+009;5.725207453270163E+000;
2.327250000000000E+009;4.961598838543638E+000;
2.342200000000000E+009;4.478675978865840E+000;
2.357150000000000E+009;4.592631054854198E+000;
